NO ,NO. PENAWARAN ,DATE,MARKERTING ,CUSTOMER NAME,REMARK (KAROSERI),HARGA ,HARGA (NEW),EXC / INC ,PROGRESS,QUANTITY,SATUAN,KETERANGAN,TOTAL
11,88/QUO/STM/I/25,13-Jan-25,EKO ARYO,PT. ANDALAN BERKAH GEMILANG ENERGY,TRAILLER 40 FEET 3 AXLE - FLAT DECK UK 12300 X 2500 MM, 350.000.000 (EXC) ,"350,000,000", EXC ,,,,TIDAK JADI OC,0
12,97/QUO/STM/I/25,14-Jan-25,EKO ARYO,PT. BORNEO AUTO CEMERLANG,ARM ROLL KAP. 6 TON DOUBLE ACTION DAN CONTAINER TERBUKA KAP. 6 Mᶟ," 148,000,000 ","148,000,000", INC ,,,,TIDAK JADI OC,0
13,100/QUO/STM/I/25,14-Jan-25,EKO ARYO,BAPAK RIZKY,ARM ROLL KAP. 6 TON DOUBLE ACTIOON DAN CONTAINER TERBUKA KAP. 6 Mᶟ,,0,  ,,,,TIDAK JADI OC,0
14,100/QUO/STM/I/25,14-Jan-25,EKO ARYO,BAPAK RIZKY,HARGA ARM ROLL," 123,000,000 ","123,000,000", INC ,,,,TIDAK JADI OC,0
15,100/QUO/STM/I/25,14-Jan-25,EKO ARYO,BAPAK RIZKY,HARGA CONTAINER," 43,000,000 ","43,000,000", INC ,,,,TIDAK JADI OC,0
16,106/QUO/STM/I/25,14-Jan-25,EKO ARYO,PT. ANDALAN BERKAH GEMILANG ENERGY,PLAT BED ISUZU NMR81U-HAYIN4 5.8 UK. 4300 X 2000 MM, 27.000.000  (EXC) ,"27,000,000", EXC ,,,,TIDAK JADI OC,0
17,116/QUO/STM/I/25,15-Jan-25,EKO ARYO,PT. PARA TAMA WIJAYA,DUMP TRUCK TELESCOPIC SCANIA P 360 CB UK 6000 X 2500 X 1700 MM," 263,500,000 ","263,500,000", INC ,,,,TIDAK JADI OC,0
18,116/R.01 QUO/STM/I/25,31-Jan-25,EKO ARYO,PT. BARA TAMA WIJAYA,DUMP TRUCK TELESCOPIC SCANIA P 360 CB UK 6000 X 2500 X 1700 MM," 296,050,000 ","296,050,000", INC ,,,,TIDAK JADI OC,0
19,127/QUO/STM/I/25,16-Jan-25,EKO ARYO,PT. SMART TBK,DUMP TRUCK ANGKUT SAWIT HINO FM 280 JD UK 5930 X 2340 X 1000 + 400 MM (RAMP)+ 300 MM (CKD)," 155,000,000 ","155,000,000", INC ,,,,TIDAK JADI OC,0
20,127/QUO/STM/I/25,16-Jan-25,EKO ARYO,PT. SMART TBK,DUMP TRUCK ANGKUT SAWIT HINO FM 280 JD UK 5930 X 2340 X 1000 + 400 MM (RAMP)+ 500 MM (CKD)," 165,000,000 ","165,000,000", INC ,,,,TIDAK JADI OC,0
21,127/QUO/STM/I/25,16-Jan-25,EKO ARYO,PT. SMART TBK,DUMP TRUCK ANGKUT SAWIT HINO FM 280 JD UK 5930 X 2340 X 1000 + 400 MM (RAMP)+ 300 MM (CKD)," 135,000,000 ","135,000,000", INC ,,,,TIDAK JADI OC,0
22,130/QUO/STM/I/25 B,22-Jan-25,EKO ARYO,PT. SMART TBK,DUMP TRUCK KNOCKDOWN HINO DUTRO 136 HD UK 3880 X 1840 X 700 + 700 MM," 55,000,000 ","55,000,000", INC ,,,,TIDAK JADI OC,0
23,136/QUO/STM/I/25,16-Jan-25,EKO ARYO,BAPAK ACAI,TANGKI CPO KAP. 35.000 LITER MITSUBISHI FN 62 FL HD ," 229,500,000 ","229,500,000", INC ,,,,TIDAK JADI OC,0
24,159/QUO/STM/I/25,22-Jan-25,EKO ARYO,PT. SMART Tbk,DUMP TRUCK ANGKUT SAWIT HINO DUTRO 136 HD 4X2 UK 3880 X 1840 X 700 + 500 MM (RAM)," 54,000,000 ","54,000,000", INC ,,,,TIDAK JADI OC,0
25,160/QUO/STM/I/25,17-Jan-25,EKO ARYO,PT. SMART Tbk,DUMP TRUCK ANGKUT SAWIT HINO DUTRO 136 HD 4X4 UK 3880 X 1840 X 700 + 500 MM (RAM)," 54,000,000 ","54,000,000", INC ,,,,TIDAK JADI OC,0
26,161/QUO/STM/I/25,22-Jan-25,EKO ARYO,PT. SMART Tbk,DUMP TRUCK ANGKUT SAWIT HINO DUTRO 136 HD 6X2 UK 5180 X 1840 X 700 + 500 MM (RAM)," 70,000,000 ","70,000,000", INC ,,,,TIDAK JADI OC,0
27,162/QUO/STM/I/25,18-Jan-25,EKO ARYO,CUSTOMER BAPAK EKO ARYO,BOX ALUMUNIUM + TOPI CABIN WIND DEFLECTOR MERCY KUZER WB 3850 UK 5.250 X 2.100 X 2.200 MM, 60.000.000 (EXC) ,"60,000,000", EXC ,,,,TIDAK JADI OC,0
28,172/QUO/STM/I/25,20-Jan-25,EKO ARYO,PT. SMART TBK,TRAILLER ANGKUT GENSET KAP. 8 TON UK 4.500 X 2.100 MM," 152,000,000 ","152,000,001", INC ,,,,TIDAK JADI OC,0
29,178/QUO/STM/I/25,21-Jan-25,EKO ARYO,BAPAK RIZKY,DUMP TRUCK ANGKUT SAWIT MITSUBISHI FE 75 SHDX UK 3.880 X 1.840 X 700 + 500 MM," 77,000,000 ","77,000,000", INC ,,,,TIDAK JADI OC,0
30,182/QUO/STM/I/25,21-Jan-25,EKO ARYO,PT. SMART Tbk,TANGKI CPO KAP. 27.000 LITER HINO FL 260 JN," 170,000,000 ","170,000,000", INC ,,,,TIDAK JADI OC,0
31,184/QUO/STM/I/25,22-Jan-25,EKO ARYO,PT. SMART Tbk,TANGKI CPO KAP. 8.000 LITER HINO DUTRO 136 HD," 110,000,000 ","110,000,000", INC ,,,,TIDAK JADI OC,0
32,185/QUO/STM/I/25,21-Jan-25,EKO ARYO,PT. SMART Tbk,TANGKI CPO KAP. 10.000 LITER HINO DUTRO 136 HDL 6 X 2," 115,000,000 ","115,000,000", INC ,,,,TIDAK JADI OC,0
33,200/QUO/STM/I/25,21-Jan-25,EKO ARYO,PT. SMART Tbk,SELF LOADER WITH HYDRAULICK JACK HINO FM 280 JW UK 9200 X 2500 MM WINCH 10 TON," 325,000,000 ","325,000,000", INC ,,,,TIDAK JADI OC,0
34,200/QUO/STM/I/25,21-Jan-25,EKO ARYO,PT. SMART Tbk,SELF LOADER WITH HYDRAULICK JACK HINO FM 280 JW UK 9200 X 2500 MM WINCH 20 TON," 335,000,000 ","335,000,000", INC ,,,,TIDAK JADI OC,0
35,201/QUO/STM/I/25,23-Jan-25,EKO ARYO,PT. SMART Tbk,SCISSOR LIFT TRUCK HINO DUTRO 136 HD UK 3800 X 1840 X 500 MM," 110,000,000 ","110,000,000", INC ,,,,TIDAK JADI OC,0
36,203/QUO/STM/I/25,22-Jan-25,EKO ARYO,PT. SMART Tbk,DUMP TRUCK ANGKUT SAWIT + KNOCKDOWN HINO DUTRO 136 HD 4X2 / 4X4 UK 3880 X 1840 X 700 + 500 MM (RAM) + KNOCKDOWN 200 MM," 58,000,000 ","58,000,000", INC ,,,,TIDAK JADI OC,0
37,204/QUO/STM/I/25,22-Jan-25,EKO ARYO,PT. SMART Tbk,DUMP TRUCK ANGKUT SAWIT + KNOCKDOWN HINO FG 260 JJ UK 4930 X 2340 X 850 + 450 MM (RAM) + KNOCKDOWN 500 MM," 120,000,000 ","120,000,000", INC ,,,,TIDAK JADI OC,0
38,204/QUO/STM/I/25,22-Jan-25,EKO ARYO,PT. SMART Tbk,DUMP TRUCK ANGKUT SAWIT + KNOCKDOWN HINO FG 260 JJ UK 4930 X 2340 X 850 + 450 MM (RAM) + KNOCKDOWN 500 MM," 110,000,000 ","110,000,000", INC ,,,,TIDAK JADI OC,0
39,207/QUO/STM/I/25,23-Jan-25,EKO ARYO,PT. SMART Tbk,TANGKI TRAILER CPO KAP. 35600 LITER," 485,000,000 ","485,000,000", INC ,,,,TIDAK JADI OC,0
40,209/QUO/STM/I/25,21-Jan-25,EKO ARYO,PT. SMART Tbk,TANGKI CPO KAP. 16000 LITER HINO FM 280 JD," 150,000,000 ","150,000,000", INC ,,,,TIDAK JADI OC,0
41,210/QUO/STM/I/25,22-Jan-25,EKO ARYO,PT. SMART Tbk,DUMP TRUCK HINO FL 260 JN UK 6850 X 2400 X 1800 MM," 154,000,000 ","154,000,000", INC ,,,,TIDAK JADI OC,0
42,211/QUO/STM/I/25,23-Jan-25,EKO ARYO,PT. SMART Tbk,ARM ROLL KAP. 14 TON HINO FG 260 JJ + CONTAINER 18 M3 UK 4560 X 2354 X 1750 MM," 920,000,000 ","920,000,000", INC ,,,,TIDAK JADI OC,0
43,213/QUO/STM/I/25,23-Jan-25,EKO ARYO,PT. SMART Tbk,MEDIUM BUS SEKOLAH + AC DENSO MSD 9 MITSUBISHI FE 84 BC," 405,000,000 ","405,000,000", INC ,,,,TIDAK JADI OC,0
44,225/QUO/STM/I/25,24-Jan-25,EKO ARYO,BAPAK ACAI,TANGKI CPO KAP. 36.000 LITER MITSUBISHI FN 62 FL HD," 215,000,000 ","215,000,000", INC ,JADI OC,,,JADI OC,"215,000,000"
45,225/QUO/STM/I/25,24-Jan-25,EKO ARYO,PT. BERLIAN MAJU MOTOR,TANGKI CPO KAP. 36.000 LITER MITSUBISHI FN 62 FL HD," 160,000,000 ","160,000,000", INC ,OC 52/MKT/II/25 R.01 (20 UNIT),20,UNIT,JADI OC,"3,200,000,000"
46,229/QUO/STM/I/25,25-Jan-25,EKO ARYO,PT. ASTRA ISUZU - TANGERANG,TRAILLER 40 FEET 3 AXLE - FLAT DECK UK 12.300 X 2.500 MM," 359,340,000 ","359,340,000", INC ,,,,TIDAK JADI OC,0
47,239/QUO/STM/I/25,25-Jan-25,EKO ARYO,PT. ASTRA ISUZU - TANGERANG,TRAILLER 40 FEET 3 AXLE - FLAT DECK UK 12.300 X 2.500 MM," 359,340,000 ","359,340,000", INC ,,,,TIDAK JADI OC,0
48,239/QUO/STM/I/25,25-Jan-25,EKO ARYO,PT. ASTRA ISUZU - TANGERANG,TRAILLER 20 FEET 2 AXLE - FLAT DECK UK 7.250 X 2.500 MM," 235,500,000 ","235,500,000", INC ,,,,TIDAK JADI OC,0
49,245/QUO/STM/I/25 ,28-Jan-25,EKO ARYO,PT. ASTRA INTERNASIONAL UD TRUCK - BANJARMASIN,BODY MIXER KAP. 7 M3 QUESTER CWE 280 WB37," 310,000,000 ","310,000,000", INC ,,,,TIDAK JADI OC,0
50,246/QUO/STM/I/25,28-Jan-25,EKO ARYO,PT. ASTRA ISUZU - PEKANBARU,DUMP TRUCK ISUZU FVZ 34 N HP UK 6.500 X 2.500 X 1.800 MM," 185,000,000 ","185,000,000", INC ,,,,TIDAK JADI OC,0
51,246/R.01QUO/STM/I/25,27-Mar-25,EKO ARYO,PT. BATU TIRAS SEJAHTERA,DUMP TRUCK ISUZU FVZ 34 N HP UK 6.500 X 2.500 X 1.800 MM," 185,000,000 ","185,000,000", INC ,,,,TIDAK JADI OC,0
52,246/R.01QUO/STM/I/25,30-Apr-25,EKO ARYO,PT. ASTRA ISUZU - PEKANBARU,DUMP TRUCK ISUZU FVZ 34 N HP UK 6.500 X 2.500 X 1.800 MM," 250,000,000 ","250,000,000", INC ,,,,TIDAK JADI OC,0
53,266/QUO/STM/I/25,30-Jan-25,EKO ARYO,PT. MITRA KARYATAMA INDUSTRI,ARM ROLL KAP. 6 TON DOUBLE ACTION HINO DUTRO 136 HDX," 107,000,000 ","107,000,000", INC ,,,,TIDAK JADI OC,0
54,266/QUO/STM/I/25,30-Jan-25,EKO ARYO,PT. MITRA KARYATAMA INDUSTRI,CONTAINER TERTUTUP KAP. 5 M3 UK 3.500 X 2.000 X 1.000 MM," 39,750,000 ","39,750,000", INC ,,,,TIDAK JADI OC,0
55,266/QUO/STM/I/25,30-Jan-25,EKO ARYO,PT. MITRA KARYATAMA INDUSTRI,BODY DUMP TRUCK SAMPAH HINO DUTRO 136 HDX UK 3.880 X 1.850 X 1.000 MM," 78,500,000 ","78,500,000", INC ,,,,TIDAK JADI OC,0
56,48/QUO/STM/I/25,09-Jan-25,FAJAR,CUSTOMER BAPAK FAJAR,WATER SPRAYER KAP. 16.000 LITER SYSTEM HYDRAULIC HINO FM 280 JD," 393,500,000 ","393,500,000", INC ,,,,TIDAK JADI OC,0
57,48/QUO/STM/I/25,09-Jan-25,FAJAR,CUSTOMER BAPAK FAJAR,WATER SPRAYER KAP. 16.000 LITER SYSTEM MANUAL HINO FM 280 JD," 222,000,000 ","222,000,000", INC ,,,,TIDAK JADI OC,0
58,53/QUO/STM/I/25,09-Jan-25,FAJAR,PT. INDOMOBIL PRIMA NIAGA - KAPUK,FLAT BED HINO FM 280 JW UK. 8550 X 2500 MM," 145,000,000 ","145,000,000", INC ,,,,TIDAK JADI OC,0
59,54/R.01QUO/STM/I/25,15-Jan-25,FAJAR,PT. ADE BINA SEJAHTERA,DUMP TRUCK 26 M3 HINO FM 280 JD UK 5930 X 2340 X 1900 MM," 178,000,000 ","178,000,000", INC ,,,,TIDAK JADI OC,0
60,73/QUO/STM/I/25,10-Jan-25,FAJAR,PT. HUDAYA - SENTUL ,BODY MIXER KAP. 7 M³ HINO FM 280 JM," 253,000,000 ","253,000,000", INC ,OC 24/MKT/I/25 (2 UNIT),2,UNIT,JADI OC,"506,000,000"
61,74/QUO/STM/I/25,10-Jan-25,FAJAR,CUSTOMER BAPAK FAJAR,FUEL TANK KAP. 16.000 LITER MANUAL HINO FM 280 JD," 224,500,000 ","224,500,000", INC ,,,,TIDAK JADI OC,0
62,74/QUO/STM/I/25,10-Jan-25,FAJAR,CUSTOMER BAPAK FAJAR,FUEL TANK KAP. 16.000 LITER HYDRAULIC HINO FM 280 JD," 455,000,000 ","455,000,000", INC ,,,,TIDAK JADI OC,0
63,93/QUO/STM/I/25,13-Jan-25,FAJAR,PT. SEDULUR BERKAH MAKMUR,BODY MIXER 8M3 HINO FM 280 JM," 298,000,000 ","298,000,000", INC ,,,,TIDAK JADI OC,0
64,95/QUO/STM/I/25,13-Jan-25,FAJAR,PT. PKG INDONESIA,BODY DUMP TRUCK HINO FM 280 JD UK 5930 X 2340 X 1000 + 1000 MM U-TYPE BA (PLAT 6/4)," 173,000,000 ","173,000,000", INC ,,,,TIDAK JADI OC,0
65,95/QUO/STM/I/25,13-Jan-25,FAJAR,PT. PKG INDONESIA,BODY DUMP TRUCK HINO FM 280 JD UK 5930 X 2340 X 1000 + 1000 MM U-TYPE BA (PLAT 8/6)," 202,000,000 ","202,000,000", INC ,,,,TIDAK JADI OC,0
66,95/R.01QUO/STM/I/25,31-Jan-25,FAJAR,PT. PKG INDONESIA,BODY DUMP TRUCK HINO FM 280 JD UK 5930 X 2340 X 1000 + 1000 MM U-TYPE BA (PLAT 8/6)," 199,000,000 ","199,000,000", INC ,,,,TIDAK JADI OC,0
67,96/QUO/STM/I/25,14-Jan-25,FAJAR,CUSTOMER BAPAK FAJAR,BAK BESI 3 WAY HINO DUTRO 115 SD UK. 2980 X 1800 X 600 MM," 24,000,000 ","24,000,000", INC ,,,,TIDAK JADI OC,0
68,111/QUO/STM/I/25,21-Jan-25,FAJAR,CUSTOMER BAPAK FAJAR,WING BOX HINO FG 260 JS UK 8490 X 2500 X 2750 MM," 155,000,000 ","155,000,000", INC ,,,,TIDAK JADI OC,0
69,131/QUO/STM/I/25,16-Jan-25,FAJAR,CUSTOMER BAPAK FAJAR,BODY DUMP TRUCK SAMPAH + KNOCKDOWN HINO DUTRO 136 HDX UK 3880 X 1840 X 1000 + 200," 71,600,000 ","71,600,000", INC ,,,,TIDAK JADI OC,0
70,138/QUO/STM/I/25 A,16-Jan-25,FAJAR,CUSTOMER BAPAK FAJAR,ARM ROLL KAP. 6 TON DOUBLE ACTION HINO DUTRO 136 HDX," 94,500,000 ","94,500,000", INC ,,,,TIDAK JADI OC,0
71,138/QUO/STM/I/25 A,16-Jan-25,FAJAR,CUSTOMER BAPAK FAJAR,CONTAINER UK 3800 X 1900 X 1000 ," 42,500,000 ","42,500,000", INC ,,,,TIDAK JADI OC,0
72,138/QUO/STM/I/25 B,16-Jan-25,FAJAR,CUSTOMER BAPAK FAJAR,BODY DUMP TRUCK ISUZU NMR 81 HD 6.5 UK 3880 X 1850 X1080 MM," 60,000,000 ","60,000,000", INC ,,,,TIDAK JADI OC,0
73,141/QUO/STM/I/25,16-Jan-25,FAJAR,PT. GITA RIAU MAKMUR,PENAMBAHAN SPEK DUMP TRUCK HINO FM 280 JD," 24,000,000 ","24,000,000", INC ,OC 40/MKT/I/25 (20 UNIT),20,UNIT,JADI OC,"480,000,000"
74,149/QUO/STM/I/25,17-Jan-25,FAJAR,PT. GITA RIAU MAKMUR,BODY DUMP TRUCK HINO FM 280 JD UK 6500 X 2500 X 2000 MM," 170,000,000 ","170,000,000", INC ,OC 36/MKT/IX/24 R.02 (20 UNIT),20,UNIT,JADI OC,"3,400,000,000"
75,149/LQUO/STM/I/25,12-Feb-25,FAJAR,PT. PANGKALAN NIAGA,BODY DUMP TRUCK HINO FM 280 JD UK 6500 X 2500 X 2000 MM," 200,000,000 ","200,000,000", INC ,,,,TIDAK JADI OC,0
76,168/QUO/STM/I/25,20-Jan-25,FAJAR,CUSTOMER BAPAK FAJAR,TANGKI ASPAL KAP. 20.000 LITER MITSUBISHI FN 61 HD," 300,000,000 ","300,000,000", INC ,,,,TIDAK JADI OC,0
77,187/QUO/STM/I/25,21-Jan-25,FAJAR,CUSTOMER BAPAK FAJAR,BAK BESI 3 WAY MITSUBISHI FE 74 HD UK 4230 X 2000 X 700 MM, 45.000.000 (EXC) ,"45,000,000", EXC ,,,,TIDAK JADI OC,0
78,202/QUO/STM/I/25,23-Jan-25,FAJAR,PT. HIBAINDO ARMADA MOTOR,BODY MIXER 8 M3 HINO FM 280 JM," 283,000,000 ","283,000,000", INC ,OC 16/MKT/III/25 (1 UNIT),1,UNIT,JADI OC,"283,000,000"
79,208/QUO/STM/I/25,23-Jan-25,FAJAR,PT. SARILING ANEKA ENERGI,TANGKI ASPAL KAP. 5000 LITER ISUZU NMR 81 HD," 190,000,000 ","190,000,000", INC ,,,,TIDAK JADI OC,0
80,215/QUO/STM/I/25,23-Jan-25,FAJAR,CUSTOMER BAPAK FAJAR,TANGKI CPO KAP. 16000 LITER HINO FM 280 JD," 128,000,000 ","128,000,000", INC ,,,,TIDAK JADI OC,0
81,216/QUO/STM/I/25,23-Jan-25,FAJAR,CUSTOMER BAPAK FAJAR,FLAT BED HINO FG 260 JP ," 63,000,000 ","63,000,000", INC ,,,,TIDAK JADI OC,0
82,221/QUO/STM/I/25,24-Jan-25,FAJAR,PT. RINALDI KARYA GROUP,TANGKI HI-BLOW KAP. 35 TON MITSUBISHI FN 62 FL HD R ," 350,000,000 ","350,000,000", INC ,,,,TIDAK JADI OC,0
83,244/QUO/STM/I/25,28-Jan-25,FAJAR,PT. MAHAKAM BORNEO JAYA,DUMP TRUCK KUBURAN HINO FM 280 JD UK 6300 X 2400 X 2100 MM," 225,000,000 ","225,000,000", INC ,,,,TIDAK JADI OC,0
84,244/R.01QUO/STM/I/25,31-Jan-25,FAJAR,PT. MAHAKAM BORNEO JAYA,DUMP TRUCK KUBURAN HINO FM 280 JD UK 6300 X 2400 X 2100 MM," 222,000,000 ","222,000,000", INC ,,,,TIDAK JADI OC,0
85,247/QUO/STM/I/25,28-Jan-25,FAJAR,PT. TRUELOGS,FLAT BED ISUZU FTR 33 (EX BOX) UK 5.900 X 2.500 MM," 85,000,000 ","85,000,000", INC ,OC 23/MKT/II/25 (1 UNIT),1,UNIT,JADI OC,"85,000,000"
86,268/QUO/STM/I/25,31-Jan-25,FAJAR,CV. ANUGERAH ATHIYA,BODY MIXER KAP. 3 M3 HINO DUTRO 136 HDMX," 209,000,000 ","209,000,000", INC ,OC 07/MKT/II/25 (1 UNIT),1,UNIT,JADI OC,"209,000,000"
87,276/QUO/STM/I/25,31-Jan-25,FAJAR,PT. SUKA FAJAR,BODY MIXER KAP. 7 M3 MITSUBISHI FN 62 F HDR," 275,000,000 ","275,000,000", INC ,,,,TIDAK JADI OC,0
88,276/QUO/STM/I/25,31-Jan-25,FAJAR,PT. SUKA FAJAR,BODY MIXER KAP. 8 M3  MITSUBISHI FN 62 F HDR," 286,000,000 ","286,000,000", INC ,,,,TIDAK JADI OC,0
89,01/QUO/STM/I/25,01-Jan-25,IRWAN,PT. EUROTRUCK TRANSINDO,FLAT BED WITH INSTAL CRANE MERCY AXOR 2528 CH UK 5750 X 2500 MM," 115,000,000 ","115,000,000", INC ,,,,TIDAK JADI OC,0
90,02/QUO/STM/I/25,02-Jan-25,IRWAN,PT. HUDAYA MAJU MANDIRI,SELF LOADER WITH HYDRAULIC JACK HINO FM 280 JW UK 9200 X 2500 MM," 365,000,000 ","365,000,000", INC ,,,,TIDAK JADI OC,0
91,03/R.01QUO/STM/I/25,14-Jan-25,IRWAN,PT. EUROTRUCK TRANSINDO, DUMP TRUCK MERCY AXOR 2528 CX UK. 6400 X 2400 X 1850 MM (PLAT 8/6)," 192,000,000 ","192,000,000", INC ,,,,TIDAK JADI OC,0
92,03/R.01QUO/STM/I/25,14-Jan-25,IRWAN,PT. EUROTRUCK TRANSINDO,DUMP TRUCK MERCY AXOR 2528 CX UK 6400 X 2400 X 1850 MM (PLAT 6/4)," 170,000,000 ","170,000,000", INC ,OC 27/MKT/I/25 (5 UNIT),5,UNIT,JADI OC,"850,000,000"
93,03/R.01QUO/STM/I/25,14-Jan-25,IRWAN,PT. EUROTRUCK TRANSINDO,OPTIONAL APAR 6 KG + BRACKET," 1,700,000 ","1,700,000", INC ,,,,TIDAK JADI OC,0
94,05/QUO/STM/I/25,03-Jan-25,IRWAN,PT. ALUN INDAH,BODY MIXER KAP. 7M3 MERCY AXOR 2528 RMC," 290,000,000 ","290,000,000", INC ,,,,TIDAK JADI OC,0
95,15/QUO/STM/I/25,04-Jan-25,IRWAN,CUSTOMER BAPAK IRWAN,MEDIUM BUS MODEL VOVA TECH LIMITED (VTL-B-G8) KAP. 30 SEAT + AC HINO 136 MDBL," 853,000,000 ","853,000,000", INC ,,,,TIDAK JADI OC,0
96,24/QUO/STM/I/25,08-Jan-25,IRWAN,PT. EUROTRUCK TRANSINDO,WATER SPRAYER KAP. 16.000 LITER SYSTEM HYDRAULIC MERCY AXOR 2528 C /CH/CX," 400,000,000 ","400,000,000", INC ,,,,TIDAK JADI OC,0
97,34/QUO/STM/I/25,07-Jan-25,IRWAN,PT. HARTONO RAYA MOTOR,BODY DUMP TRUCK MERCY AXOR 2528 CX/CH UK. 6500 X 2400 X 1800 MM," 190,000,000 ","190,000,000", INC ,,,,TIDAK JADI OC,0
98,37/QUO/STM/I/25,08-Jan-25,IRWAN,PT. GOWA KENCANA MOTOR,BODY DUMP TRUCK KUBURAN MERCY AXOR 2528 CH UK 6500 X 2500 X 2000 MM," 215,000,000 ","215,000,000", INC ,,,,TIDAK JADI OC,0
99,38/QUO/STM/I/25,08-Jan-25,IRWAN,PT. EUROTRUCK TRANSINDO,FUEL TANK KAP. 20.000 LITER MERCY AXOR 2528 C/CH/CX," 586,750,000 ","586,750,000", INC ,,,,TIDAK JADI OC,0
100,39/QUO/STM/I/25,08-Jan-25,IRWAN,PT. HUDAYA MAJU MANDIRI - SENTUL,BODY MIXER KAP. 8M3 HINO FM 280 JM," 270,000,000 ","270,000,000", INC ,,,,TIDAK JADI OC,0
101,40/QUO/STM/I/25,08-Jan-25,IRWAN,PT. EUROTRUCK TRANSINDO,WATER SPRAYER KAP. 20.000 LITER SYSTEM HYDRAULIC MERCY AXOR 2528 C/CH/CX," 435,000,000 ","435,000,000", INC ,,,,TIDAK JADI OC,0
102,41/QUO/STM/I/25,08-Jan-25,IRWAN,PT. HUDAYA MAJU MANDIRI,SELF LOADER WITH HYDRAULLICK JACK HINO FM 280 JW UK. 9200 X 2500 MM," 280,000,000 ","280,000,000", INC ,OC 18/MKT/I/25 (1 UNIT),1,UNIT,JADI OC,"280,000,000"
103,42/QUO/STM/I/25,02-Jan-25,IRWAN,PT. DIPO INTERNASIONAL PAHALA OTOMOTIF - MEDAN,BODY DUMP TRUCK MITSUBISHI FE 75 SHDX N UK. 3880 X1840 X 1000 + 400 MM," 62,000,000 ","62,000,000", INC ,,,,TIDAK JADI OC,0
104,43/QUO/STM/I/25,09-Jan-25,IRWAN,PT. EUROTRUCK TRANSINDO,LOW BED TRAILLER 40 FEET 3 AXLE UK 6500 X 3200 MM," 725,000,000 ","725,000,000", INC ,,,,TIDAK JADI OC,0
105,47/QUO/STM/I/25,09-Jan-25,IRWAN,PT. HUDAYA MAJU MANDIRI,FUEL TANK KAP. 20.000 LITER HINO FM 280 JD ," 580,000,000 ","580,000,000", INC ,,,,TIDAK JADI OC,0
106,78/QUO/STM/I/25,11-Jan-25,IRWAN,PT. HUDAYA MAJU MANDIRI,DUMP TRUCK KUBURAN HINO FM 280 JD UK 6500 X 2500 X 2000 MM," 186,500,000 ","186,500,000", INC ,OC 28/MKT/II/25 (50 UNIT),50,UNIT,JADI OC,"9,325,000,000"
